N,T,G,S
3, 10, chordal, 122
3, 10, chordal, 1234
3, 10, chordal, 12345
3, 10, complete, 122
3, 10, complete, 1234
3, 10, complete, 12345
3, 10, cycle, 122
3, 10, cycle, 1234
3, 10, cycle, 12345
3, 10, path, 122
3, 10, path, 1234
3, 10, path, 12345
3, 10, regular, 122
3, 10, regular, 1234
3, 10, regular, 12345
3, 10, tree, 122
3, 10, tree, 1234
3, 10, tree, 12345
3, 10, wheel, 122
3, 10, wheel, 1234
3, 10, wheel, 12345
5, 10, chordal, 122
5, 10, chordal, 1234
5, 10, chordal, 12345
5, 10, complete, 122
5, 10, complete, 1234
5, 10, complete, 12345
5, 10, cycle, 122
5, 10, cycle, 1234
5, 10, cycle, 12345
5, 10, path, 122
5, 10, path, 1234
5, 10, path, 12345
5, 10, regular, 122
5, 10, regular, 1234
5, 10, regular, 12345
5, 10, tree, 122
5, 10, tree, 1234
5, 10, tree, 12345
5, 10, wheel, 122
5, 10, wheel, 1234
5, 10, wheel, 12345
7, 10, chordal, 122
7, 10, chordal, 1234
7, 10, chordal, 12345
7, 10, complete, 122
7, 10, complete, 1234
7, 10, complete, 12345
7, 10, cycle, 122
7, 10, cycle, 1234
7, 10, cycle, 12345
7, 10, path, 122
7, 10, path, 1234
7, 10, path, 12345
7, 10, regular, 122
7, 10, regular, 1234
7, 10, regular, 12345
7, 10, tree, 122
7, 10, tree, 1234
7, 10, tree, 12345
7, 10, wheel, 122
7, 10, wheel, 1234
7, 10, wheel, 12345
11, 10, chordal, 122
11, 10, chordal, 1234
11, 10, chordal, 12345
11, 10, complete, 122
11, 10, complete, 1234
11, 10, complete, 12345
11, 10, cycle, 122
11, 10, cycle, 1234
11, 10, cycle, 12345
11, 10, path, 122
11, 10, path, 1234
11, 10, path, 12345
11, 10, regular, 122
11, 10, regular, 1234
11, 10, regular, 12345
11, 10, tree, 122
11, 10, tree, 1234
11, 10, tree, 12345
11, 10, wheel, 122
11, 10, wheel, 1234
11, 10, wheel, 12345
